,svspp,cruise6,station,pdsex,pdid,pdlen,pdwgt,sizecat,pdgutw,pdgutv,fhdat,stratum,beglat,beglon,declat,declon,month,day,year,purcode,season,geoarea,pynam,gencat,gensci,analcat,analsci,collcat,collsci,pynum,pyamtw,pyamtv,pdscinam,pdcomnam,location
35877,141,197702,7,0,1,9,NA,S,0,0,,1750,3901,7251,39.0167,72.85,3,20,1977,10,SPRING,MAB,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
35878,141,197702,7,0,2,9,NA,S,0.02,0.02,,1750,3901,7251,39.0167,72.85,3,20,1977,10,SPRING,MAB,CRUSTACEA,ARTHRO,ARTHROPODA,CRUSTA,CRUSTACEA,CRUSTA,CRUSTACEA,NA,0.02,0.02,CENTROPRISTIS STRIATA,BLACK SEA BASS,
35879,141,197702,7,0,3,12,NA,S,0,0,,1750,3901,7251,39.0167,72.85,3,20,1977,10,SPRING,MAB,GAMMARIDEA,ARTHRO,ARTHROPODA,AMPHIP,AMPHIPODA,GAMMAR,GAMMARIDEA,NA,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
35880,141,197702,7,2,4,21,NA,S,0,0,,1750,3901,7251,39.0167,72.85,3,20,1977,10,SPRING,MAB,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
35931,141,197702,11,2,1,36,NA,M,0,0,,1740,3840,7331,38.6667,73.5167,3,20,1977,10,SPRING,MAB,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
35932,141,197702,11,2,2,31,NA,M,0,0,,1740,3840,7331,38.6667,73.5167,3,20,1977,10,SPRING,MAB,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
35933,141,197702,11,2,3,29,NA,M,0,0,,1740,3840,7331,38.6667,73.5167,3,20,1977,10,SPRING,MAB,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
35961,141,197702,17,0,1,10,NA,S,0.17,0.15,,1710,3758,7403,37.9667,74.05,3,21,1977,10,SPRING,MAB,CANCER IRRORATUS,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,CANFAM,CANCRIDAE,2,0.17,0.15,CENTROPRISTIS STRIATA,BLACK SEA BASS,
35962,141,197702,17,0,2,9,NA,S,0.03,0.03,,1710,3758,7403,37.9667,74.05,3,21,1977,10,SPRING,MAB,MUNIDA SP,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,DECCRA,DECAPODA CRAB,1,0.03,0.03,CENTROPRISTIS STRIATA,BLACK SEA BASS,
35963,141,197702,17,2,3,20,NA,S,0,0,,1710,3758,7403,37.9667,74.05,3,21,1977,10,SPRING,MAB,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
