Year,Month,Fish,c13l,n15l,c13m,n15m,c13s,n15s,Location,Len,Weight,Sex,Age,Animal
2016,6,061116-001,-20.89,12.18,-18.08,14.03,,,KR,28,419,F,,BSB
2016,6,061116-002,-19.89,12.36,-16.88,14.85,,,KR,26,291,F,,BSB
2016,6,061116-003,-22.12,12.33,-18.05,13.19,,,KR,18,91,F,,BSB
2016,7,070716-001,-18.63,13.67,-17.54,14.22,,,KRM,34,504,M,,BSB
2016,7,070716-002,,,-17.61,13.19,,,KRM,21,134,F,,BSB
2016,7,070716-003,-18.95,12.01,-17.71,13.53,,,KRM,30,368,F,,BSB
2016,7,070716-004,-18.74,12.74,-17.49,14.32,,,KRM,22,168,F,,BSB
2016,7,070716-005,-19.12,12.98,-17.76,11.8,,,KRM,21,134,M,,BSB
2016,7,070716-006,-19.2,12.31,-18.2,13.19,,,KRM,28,299,F,,BSB
2016,7,070716-007,-20.03,12.69,-17.62,13.75,,,KRM,22,166,T,,BSB
2016,7,070716-008,-19.84,12.16,-18.3,13.44,,,KRM,21,145,F,,BSB
2016,7,070716-009,-20.54,11.82,-17.67,12.95,,,KRM,20,122,F,,BSB
2016,7,070716-010,-19.23,13.15,-17.02,14.52,,,KRM,21,131,M,,BSB
2016,7,070716-011,-18.83,13.49,-16.97,14,,,KRM,20,109,M,,BSB
2016,7,070716-012,-18.98,12.44,-18.45,13,,,KRM,19,92,F,,BSB
2016,7,070716-013,-19.14,12.55,-17.33,14.54,,,KRM,20,114,T,,BSB
2016,7,072016-001,-18.19,14.16,-17.21,15.15,,,PN,33,330,M,,BSB
2016,7,072116-001,-19.14,13.6,-17.32,14.55,,,EP,33,413,M,,BSB
2016,7,072116-002,-19.86,14.01,-17.32,14.57,,,AV,34,452,M,,BSB
2016,7,072116-003,-19.96,12.67,-18.06,13.76,,,AV,29,357,F,,BSB
2016,7,072116-004,-19.21,13.68,-17.25,14.22,,,AV,27,240,F,,BSB
2016,9,091316-001,-18.62,13.22,-17.09,14.76,,,PN,29,339,F,,BSB
2016,9,091316-002,-19.85,13.46,-17.85,13.67,,,PN,27,258,F,,BSB
2016,9,091316-003,-19.41,13.87,-16.98,14.94,,,PN,28,282,M,,BSB
2016,9,091316-004,-19.53,13.07,-17.52,15.09,,,PN,24,232,T,,BSB
2016,9,091316-005,-18.96,13.71,-17.59,14.08,,,PN,26,256,F,,BSB
